Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made,class
,Low Value,122.3682649,201.1981929,52.85502226,56.263532,Yes,3
Control,Low Value,196.1545918,,64.68596635,60.78817182,No,3
Treatment,Low Value,169.684216,272.3573759,59.01689053,60.50944061,No,3
Control,Low Value,190.2849969,227.2980943,,,Yes,3
Treatment,Low Value,169.3868659,256.1619418,50.19207168,63.02098368,No,3
Control,Medium Value,165.2700982,194.1154337,65.30807984,82.13589047,No,3
Treatment,Low Value,,301.7989767,59.73189736,73.33323612,Yes,3
Control,,84.67849892,94.88678967,53.69807789,,No,3
Control,High Value,184.4381092,236.9713727,,77.02146658,No,3
,Low Value,171.5103086,264.1092453,42.28774763,48.363134,Yes,3
Treatment,,213.9622922,336.6372506,,83.21554971,Yes,3
,High Value,,160.692898,77.25595611,99.68560975,No,3
Treatment,High Value,203.8462203,316.8969556,74.85028673,84.50434922,Yes,3
Control,,161.5738773,200.0374899,55.46876451,,Yes,3
Treatment,,179.4027632,,77.78320046,94.73296851,Yes,3
Treatment,High Value,276.7915313,456.7981363,65.403688,,No,3
Control,Medium Value,145.2225794,187.2854823,71.07286423,92.26286708,Yes,3
Treatment,Low Value,145.0041005,232.720385,70.75397332,76,Yes,3
Treatment,Medium Value,260.0202236,412.0271123,70.23417126,,No,3
Control,,222.2701394,268.8181283,52.25331175,,No,3
Treatment,Low Value,116.1478694,190.0788455,53.0151879,63.93031442,No,3
,Medium Value,212.9446041,256.3916487,,,No,3
Control,Medium Value,203.8462203,243.7668889,71.47417314,74.55073523,Yes,3
Control,,215.7371435,271.73243,92.10126959,100,No,3
Control,,127.671706,151.641266,69.44746831,80.31618821,Yes,3
Control,Medium Value,152.4833186,185.8843776,50.40683123,53.04969356,Yes,3
Treatment,Medium Value,,243.1330754,90.07652702,,No,3
Control,Low Value,,228.7446766,52.95720062,60.89183596,No,3
Control,,149.1392185,182.8872144,,,No,3
Treatment,Low Value,145.5304132,230.7159989,45.37007511,52.22838694,Yes,3
Treatment,High Value,,257.8983946,,89.26863095,Yes,3
,High Value,126.6121103,198.3796544,100,100,No,3
Control,High Value,341.4362761,417.5573574,83.13962967,86.70507835,Yes,3
Control,Low Value,181.4454105,221.7645855,50.35126432,53.98468221,Yes,3
Control,Medium Value,255.8551273,312.5543518,61.52505667,75.90377545,No,3
Treatment,High Value,134.9345683,222.8658351,99.17652178,94.77762949,No,3
Control,High Value,,336.3219043,100,,No,3
Treatment,Low Value,147.1940136,228.9428583,40.41076388,45.294777,No,3
Control,High Value,232.8951955,285.0713496,84.93525427,100,Yes,3
Treatment,,,371.2546845,65.21900446,77.23980148,No,3
Control,,233.4441741,274.1499273,,45.81146778,No,3
Control,Low Value,164.2175696,190.6030312,48.57243296,,Yes,3
,Medium Value,139.4563231,173.1619915,65.30556379,63.60881114,No,3
Treatment,,182.9056387,284.8497448,56.90470933,,Yes,3
Treatment,Medium Value,211.2985226,329.9461182,71.43922287,79.49444923,Yes,3
Control,High Value,172.0651573,211.7092661,91.07319837,99.96901925,Yes,3
Control,Medium Value,166.3579966,202.796811,73.34052191,84.81104758,Yes,3
Control,Low Value,102.832215,,49.57265278,51.30881698,,3
Treatment,Medium Value,,222.8082484,46.99905417,58.85843415,Yes,3
Control,Low Value,186.6352797,225.3417941,46.63074206,60.29749933,No,3
Control,Low Value,207.4130948,253.0917988,44.95777602,61.81892476,Yes,3
Control,High Value,258.318165,,82.65467126,79.32482192,Yes,3
Control,Medium Value,298.6007463,367.7328735,74.15973982,90.64661261,No,3
Treatment,,277.0060217,439.4541684,100,100,Yes,3
Treatment,Medium Value,168.3160192,280.5944118,59.26728966,68.60987654,No,3
Control,Medium Value,139.7800778,171.6664863,70.35491579,71.86204903,Yes,3
Control,Medium Value,170.0313232,208.9856943,70.45544637,87.56839634,Yes,3
,,158.2114688,,82.82391857,,Yes,3
,Medium Value,192.9794979,317.5526266,,,Yes,3
,Low Value,,247.2035095,48.8451797,,No,3
Treatment,Low Value,187.7056939,295.7907219,51.92580217,57.57413335,No,3
Treatment,Medium Value,257.4689915,398.4695734,,80.14223178,Yes,3
Control,Low Value,190.3732072,,57.19776477,57.3898218,No,3
Treatment,High Value,125.7344943,201.2868544,,100,No,3
Treatment,High Value,170.9109182,268.2948364,,100,Yes,3
Control,High Value,219.7792794,245.7479829,,81.73750865,No,3
Control,Medium Value,199.1464391,239.4839028,52.39377407,63.68147103,Yes,3
Treatment,Medium Value,248.6473411,383.52079,57.09992374,,No,3
Control,Low Value,164.4000135,209.2055207,52.95470339,67.08418459,Yes,3
Treatment,Low Value,162.3041212,256.2747873,60.82822306,67.15251196,No,3
Control,Low Value,95.73256261,124.4269954,50.2423173,54.80986516,Yes,3
Treatment,High Value,161.8879535,260.8079174,73.75863072,,No,3
Control,High Value,215.0491384,268.2380081,70.28330777,57.54546884,No,3
Treatment,High Value,207.2917426,347.866353,,,No,3
Treatment,,236.7748854,380.8385717,81.14064289,68.09366446,No,3
Treatment,,185.3330144,315.6752413,40.54776886,46.27007064,Yes,3
Control,,182.4473541,225.7687178,68.96497194,76.10366151,No,3
Control,Medium Value,134.5264974,171.9160625,,76.76776521,Yes,3
Treatment,High Value,204.6784868,,99.28810716,,No,3
,Medium Value,174.738574,265.0986635,58.45788712,63.1793077,No,3
,Medium Value,263.0407624,303.2845783,,98.92389733,No,3
Control,Medium Value,250.6506797,309.1921281,81.04269492,83.43013394,No,3
,High Value,181.0668204,217.2839139,86.38447475,88.35200335,Yes,3
Control,Low Value,134.8425137,162.618903,56.34112459,57.91006936,Yes,3
Control,Low Value,107.051635,129.1843641,57.34297764,70.16732538,No,3
,Medium Value,170.3777617,203.339966,64.04960589,60.63488803,No,3
Treatment,Low Value,147.2963291,245.1608431,41.07716272,42.96429587,Yes,3
Control,Low Value,282.3555752,336.6311021,45.28590942,,No,3
,High Value,142.4759364,230.801122,,61.61989506,No,3
,High Value,,259.429877,,100,No,3
Control,Medium Value,146.8922786,,83.97220293,84.24400955,Yes,3
Treatment,Medium Value,203.8462203,316.8969556,62.2744507,63.53917034,Yes,3
Treatment,,170.8051388,261.1326103,62.52239832,81.21921073,Yes,3
Control,High Value,259.856262,314.4719702,84.58372246,73.92144865,No,3
Treatment,,185.8963857,,67.31345331,69.98192113,Yes,3
,High Value,,394.3649318,78.95471231,78.05082607,No,3
Treatment,High Value,161.8273815,261.9530827,100,100,Yes,3
,Low Value,224.0077447,346.5776737,53.05183236,,Yes,3
Control,Low Value,137.2402676,164.1167939,28.68542587,36.55877672,No,3
,,,170.9467126,64.15176509,78.39941128,No,3
,Low Value,151.299978,178.1996292,59.21813448,,Yes,3
,Low Value,160.6498115,199.6218303,47.3856712,,Yes,3
Control,Low Value,111.887381,134.858579,56.06196741,63.88914888,Yes,3
Control,Low Value,206.7411849,255.7555693,64.55416045,59.09706574,Yes,3
Treatment,Medium Value,143.3745863,,72.22143223,69.91019942,No,3
Treatment,,142.137054,219.3912685,62.6147595,75.58069994,No,3
Control,Low Value,180.7216383,225.5937826,58.3663478,65.15402364,Yes,3
,Low Value,204.2721899,249.021978,55.50622962,,Yes,3
Control,Medium Value,127.1512016,146.3511252,77.62103838,76.89136628,No,3
Control,Medium Value,229.2132544,274.4998327,65.61296679,86.98207438,Yes,3
Treatment,Low Value,71.03684959,120.4098443,45.95067019,44.35192129,Yes,3
Control,High Value,,267.1070624,94.09405497,74.81294773,No,3
Treatment,Medium Value,126.9251707,,74.27047901,61.96526584,Yes,3
Control,,154.5961792,,63.9528566,69.41486594,Yes,3
Control,Medium Value,278.2357734,344.2326828,,58.26575351,No,3
Control,Low Value,123.0890445,143.7894404,,59.07932532,,3
Control,Low Value,154.098296,188.8802809,43.75647018,52.95160765,No,3
,Medium Value,130.3856958,214.7239839,67.07326283,72.30833282,,3
,Low Value,213.705352,337.6973754,57.88015638,49.72915927,No,3
Treatment,Low Value,184.3591113,295.088234,36.54475908,36.26861539,No,3
Control,Medium Value,218.5412017,271.4254554,72.72215159,72.99734417,No,3
Control,Low Value,224.3648061,274.4563342,54.96117532,70.3423153,Yes,3
Treatment,High Value,186.7621616,292.7320944,75.6726964,82.00175373,,3
Treatment,Low Value,,331.8582355,54.64799831,68.30348984,No,3
Control,Low Value,223.1814207,265.7380793,60.20616155,67.66873702,No,3
Control,,203.252153,239.3125685,74.14126252,77.11055228,No,3
Treatment,Medium Value,,,90.54534651,88.67939386,No,3
Control,High Value,,173.9855706,86.55023526,100,No,3
Control,,181.3977892,228.2488265,58.68331744,54.39359844,Yes,3
Treatment,High Value,,230.814261,100,100,,3
Control,High Value,130.5556885,157.422758,92.33090496,99.23190088,Yes,3
Treatment,Medium Value,231.2266103,,87.56667603,,No,3
Control,Low Value,141.5019633,169.5339187,55.14258381,52.60585656,Yes,3
Treatment,,312.658256,496.8378921,84.70938366,85.70095771,Yes,3
Control,High Value,203.8462203,243.7668889,,84.13514609,Yes,3
Treatment,High Value,167.8042894,,85.69965141,95.07242022,No,3
Treatment,,203.185901,317.7879661,94.094754,100,Yes,3
Treatment,Medium Value,,300.1251079,,54.15596315,Yes,3
,Medium Value,182.3850448,285.7053476,60.26154851,54.6114403,No,3
Control,,187.1922493,228.8853774,88.94493697,91.49672517,No,3
Control,,346.7855136,429.4126249,64.11674603,64.94091226,No,3
Treatment,,295.1052277,465.4108926,86.94326157,100,Yes,3
,Medium Value,222.5309974,266.051072,,91.04370972,No,3
Control,,115.808356,149.3412777,61.13500138,73.92144865,Yes,3
Control,High Value,201.4063993,,82.04369679,,,3
Control,,238.5060352,288.5821719,64.70146098,69.65446553,No,3
Control,Low Value,192.4454741,224.533634,43.06632554,38.93642657,,3
Treatment,Low Value,231.2884159,359.9264549,,46.98285338,Yes,3
,High Value,162.5331604,263.9503729,71.85816241,48.2959805,Yes,3
Treatment,Medium Value,181.0704878,296.0853735,59.11546701,73.09732563,No,3
Treatment,,164.9872276,262.6473704,84.1231883,,Yes,3
Control,High Value,271.422373,,73.86715783,81.08060385,,3
,,192.1378112,230.2562155,66.80389723,73.92144865,No,3
Treatment,High Value,165.0575377,268.0429382,,,,3
Control,,200.8425579,237.5684421,55.33380593,64.27530556,No,3
Control,Low Value,167.2406389,200.177428,60.21935746,66.75957823,Yes,3
Treatment,,172.2761429,284.7843473,100,100,Yes,3
Control,,250.3668508,310.0735208,70.24902619,82.47309674,No,3
Treatment,,,304.5753611,71.25560307,80.78994709,Yes,3
Treatment,High Value,172.4743595,267.3207639,100,,No,3
Control,High Value,,182.6426167,79.80785927,100,No,3
Control,High Value,,312.019293,100,100,No,3
Treatment,High Value,222.8301029,358.0563982,,71.70079905,No,3
Treatment,Medium Value,146.5250145,240.3771052,67.32168053,71.04705547,No,3
,High Value,169.8101338,211.8952387,,80.65566318,No,3
,High Value,195.2277109,324.7982777,71.9823782,66.13977636,No,3
Treatment,,196.1188718,316.1165035,76.29211752,59.61155817,No,3
Treatment,,173.8871046,275.9991848,56.64807127,63.05252696,No,3
Control,Medium Value,96.24024909,120.2417545,,96.22649594,Yes,3
,Low Value,170.1797339,270.3730937,,57.87625403,No,3
Control,,118.3135112,153.1743497,42.0560339,48.42822283,,3
Treatment,Medium Value,263.3043185,424.3518107,73.07600584,75.83582786,Yes,3
Control,Low Value,,266.9189748,,54.87301751,Yes,3
Treatment,Low Value,211.6537913,319.0213795,47.32030413,46.80156276,Yes,3
,Low Value,54.46263514,66.55051053,,60.91800052,No,3
Control,Medium Value,168.3484546,199.2895277,85.71636974,92.99720263,No,3
Control,High Value,197.0490808,252.1551494,83.25089977,82.07724632,Yes,3
Treatment,Medium Value,211.5973935,327.8915318,77.79810876,88.81674346,No,3
,,228.1254199,364.4067682,78.70163016,,Yes,3
Treatment,Medium Value,248.6558206,407.4987585,79.15489646,95.46173476,Yes,3
Control,,60.63590375,77.18538174,,53.63255182,No,3
Treatment,High Value,162.0839963,253.7590533,79.82232135,79.9359333,Yes,3
Control,,191.0749417,233.4381466,72.13015169,,No,3
Treatment,Medium Value,223.3450414,341.3496178,62.1015472,62.95666789,No,3
Control,,256.1216339,300.3972616,,77.53545065,No,3
Control,High Value,225.8269664,277.8873904,87.37750461,100,Yes,3
Control,High Value,161.191201,180.102613,76.57183302,60.56067613,No,3
Treatment,Low Value,146.5792286,231.5117219,49.07871934,51.08065208,No,3
,High Value,166.0243004,261.8594957,84.36316761,84.83748001,No,3
Treatment,Low Value,,212.5865988,48.94223794,48.39119291,,3
Control,Medium Value,,155.7975735,65.74913184,74.17969019,Yes,3
Control,,125.0227799,150.9919632,49.29067907,47.60480848,Yes,3
Treatment,,,366.9430523,100,100,Yes,3
Treatment,,166.7596863,264.7439392,,74.13692831,Yes,3
,High Value,,222.3910295,,83.63492052,Yes,3
Control,Low Value,98.39138892,122.2055867,48.66335205,62.68822665,Yes,3
Control,Medium Value,164.4469155,201.0719617,67.57948555,63.71548929,No,3
Control,,230.8034915,279.9380984,70.24902619,36.23779869,Yes,3
Control,Medium Value,175.6320459,216.2989331,69.94512109,,Yes,3
Control,High Value,247.3728547,307.1052823,85.01847739,97.16209973,Yes,3
Treatment,Medium Value,194.5096392,309.9655892,77.15163603,90.02980624,Yes,3
Control,High Value,206.0422766,241.6681679,77.38467448,,No,3
Control,High Value,116.6553402,132.8012184,76.64441279,100,Yes,3
Control,Medium Value,158.7791827,190.9557435,54.16725773,63.60158882,No,3
,Medium Value,162.2034971,194.6357811,65.55073857,80.10048131,Yes,3
Control,,239.2067123,291.490291,52.66031628,63.00538232,Yes,3
Treatment,Low Value,169.2570962,276.776957,52.81704662,50.95762624,No,3
Control,Medium Value,256.0016662,319.5399978,80.52075434,81.16025482,Yes,3
,Medium Value,243.3130887,290.7369059,59.9666532,61.63598648,Yes,3
Control,Medium Value,149.908666,171.7461553,54.95343492,80.99982517,,3
Treatment,Medium Value,186.4904392,294.9056841,69.30262326,72.9988255,No,3
Treatment,High Value,,457.0417478,84.76254957,96.83184074,Yes,3
,Medium Value,214.2127,334.183985,76.51426276,82.3696171,No,3
Control,Medium Value,217.239302,263.7057878,66.22440227,76.69260052,Yes,3
Treatment,Medium Value,228.0676364,357.925084,81.34606428,84.67251224,No,3
Control,Medium Value,208.9402629,263.113483,67.52396766,,Yes,3
Control,,234.6387374,300.038799,81.41079277,71.35396861,Yes,3
Treatment,Low Value,168.7945199,271.1998825,,53.87681011,,3
Control,,,198.6745492,,64.67946817,No,3
Control,Low Value,116.5654478,134.550198,45.97684093,54.20738253,Yes,3
Control,Low Value,86.93532196,,56.41493927,,Yes,3
,Low Value,153.0341777,248.1499873,,75.4007831,No,3
Control,High Value,236.5494718,289.4777206,87.14670284,100,No,3
,Low Value,,222.1688562,60.94603601,58.31789277,Yes,3
Treatment,High Value,239.3678507,362.1539453,100,100,Yes,3
Control,High Value,193.8688319,221.1470362,80.31955037,,No,3
Control,Low Value,294.37442,,55.93066969,56.94854473,Yes,3
Treatment,,251.1529016,393.7682911,52.78363174,,No,3
Control,Low Value,102.937466,,47.69946257,57.78243951,Yes,3
Control,,214.4060084,259.125903,66.78922175,59.56267138,Yes,3
Control,,265.9157942,,,71.916572,Yes,3
,Low Value,73.58312031,84.26716977,,65.20372151,Yes,3
Control,,198.6476552,,,66.25167638,Yes,3
Treatment,High Value,234.7010446,357.2278453,65.21491263,76.47740393,No,3
Treatment,Medium Value,178.1183463,254.123593,66.77964205,,No,3
Treatment,Medium Value,202.1523139,,70.02812898,81.32714834,No,3
Treatment,,,271.8229523,58.08245716,57.95474486,Yes,3
Control,,245.4398437,303.7675679,85.04786896,85.19598055,No,3
Control,Medium Value,270.480391,327.3678637,68.56183188,,Yes,3
Control,High Value,250.5078138,291.1336831,91.24263466,85.16072574,Yes,3
,Low Value,217.047517,262.5967827,47.16735671,51.99632833,Yes,3
Control,,,184.4740127,,100,Yes,3
Treatment,Medium Value,,453.5574264,70.32221392,77.68025515,,3
Treatment,Medium Value,191.479365,296.2481644,71.42182795,76.75372696,Yes,3
Control,High Value,193.6814661,225.4852043,100,100,Yes,3
Control,Medium Value,210.2529827,251.3007592,71.21280862,69.29752157,No,3
Control,Medium Value,203.8462203,243.7668889,82.95022262,,Yes,3
Treatment,Medium Value,186.3468678,290.193152,54.0893635,,No,3
Control,Low Value,187.7231616,215.4828614,62.40276968,51.10616353,No,3
,Low Value,147.7280004,172.8324666,60.29405151,,No,3
Control,Medium Value,188.5694404,232.4745659,48.67916389,18.4944315,No,3
Treatment,High Value,171.7819951,272.8651199,82.44991656,,Yes,3
,Low Value,136.8203554,164.6156819,54.76679504,76,No,3
Treatment,High Value,142.0799988,214.1147748,95.86812841,100,Yes,3
Treatment,Medium Value,171.184708,283.4269774,81.89351736,96.01614394,Yes,3
Treatment,Medium Value,164.0465559,276.5354477,52.77387549,60.6309561,No,3
,,228.960419,349.8862068,88.03529742,85.57662405,Yes,3
Treatment,,223.2724175,357.4297072,43.97825214,,Yes,3
,High Value,233.5075124,357.4534871,77.57057634,73.92144865,No,3
Control,High Value,251.538413,308.200728,98.00745454,87.08343003,No,3
Control,Medium Value,232.5924655,266.8030008,59.77514063,60.2622647,Yes,3
Control,Low Value,127.179211,151.4549154,52.28565459,60.00871923,No,3
Treatment,High Value,183.9882527,292.2577879,78.71524408,69.76322822,Yes,3
,Low Value,,307.3830852,58.88984324,66.76471201,,3
Treatment,Medium Value,162.9743997,249.3399494,50.2254141,60.33965871,No,3
Treatment,Low Value,256.0901661,406.6485171,61.45718395,66.67128824,Yes,3
,Medium Value,166.1189181,261.6909163,84.9182356,73.5597059,Yes,3
Control,Low Value,79.40690898,89.41262552,,68.23306152,Yes,3
Treatment,High Value,190.3428625,290.5557756,90.16476502,96.20376638,No,3
Treatment,Medium Value,240.191818,391.0276204,,54.99002683,No,3
Control,High Value,293.456173,356.1029068,,,Yes,3
Control,Medium Value,124.2539071,148.8896816,78.43911406,69.43166584,No,3
,Low Value,206.341551,313.8655915,52.2297892,50.65354595,Yes,3
Treatment,Low Value,202.9540693,315.3737087,47.80077219,55.94919453,No,3
,,,315.1687034,,99.2929878,Yes,3
Control,Medium Value,54.79291069,70.57950614,60.29591892,,Yes,3
Control,,274.8202806,,,93.83805495,No,3
Treatment,Low Value,194.3052616,301.0816618,56.53172433,71.88790144,,3
Control,Medium Value,212.3857587,245.6204287,,93.00132155,,3
Control,Medium Value,236.7865499,286.0011338,,99.76869579,Yes,3
Control,High Value,101.6582556,124.4160253,91.11777564,91.68866639,Yes,3
Treatment,Medium Value,238.5691269,368.3396483,73.63004041,58.90372207,No,3
Control,High Value,340.9904553,410.4255432,93.24939253,,Yes,3
Control,High Value,119.5576953,146.8152359,,96.76161064,Yes,3
,High Value,205.552907,251.5428333,85.3617903,100,No,3
Control,Low Value,167.9117729,208.1909825,57.19461648,64.5471687,No,3
Control,High Value,111.0095508,119.3248925,100,48.13359552,No,3
,Medium Value,212.3098166,338.0155841,49.7152997,46.60783006,Yes,3
Treatment,Low Value,,209.5499732,44.89297591,,Yes,3
Treatment,Low Value,173.1189247,265.3253242,60.9533678,73.0116644,Yes,3
Control,Low Value,,299.9472214,,62.82082303,Yes,3
Treatment,Low Value,297.4957906,458.0087613,22.20244128,19.59787403,Yes,3
Treatment,Low Value,194.6776994,312.8197683,,46.81254074,No,3
Treatment,,138.8021693,215.0644595,48.79452076,41.35778113,Yes,3
Control,Low Value,236.5981001,,,61.56594948,Yes,3
Control,High Value,191.7803034,223.5134011,68.82243369,61.49827466,No,3
Treatment,Medium Value,81.56498539,129.6320723,64.01276123,72.54245141,Yes,3
Treatment,Medium Value,209.2698213,307.0533108,70.34103809,81.44398501,Yes,3
Control,High Value,248.1418198,301.0170781,67.23483067,93.74663144,No,3
Control,High Value,188.3026818,,,,,3
Treatment,,71.2543087,112.1055247,43.93257815,47.94076062,Yes,3
Control,,203.8462203,243.7668889,45.39334636,53.15047229,No,3
Treatment,High Value,195.1452173,323.6459804,80.3475542,,Yes,3
Control,Low Value,,184.5150235,,46.65040664,No,3
Treatment,Medium Value,214.5454073,351.0905699,62.78513998,54.14476997,Yes,3
Treatment,Medium Value,,336.0783866,68.90629425,79.89926886,No,3
Control,Low Value,154.9266707,169.6144974,62.1838987,72.04867245,No,3
Treatment,Low Value,100.9771422,165.7351124,59.61275236,76,,3
Treatment,Low Value,,363.5228847,62.59704266,60.73577912,,3
Treatment,Medium Value,210.4399797,340.23088,69.45030182,63.25892088,No,3
Control,,194.6484929,,51.65980114,41.70473716,Yes,3
Control,High Value,224.7678367,276.3494654,,97.31032283,Yes,3
Control,Low Value,214.6177275,264.5761374,,48.99708849,Yes,3
Treatment,High Value,183.1674326,308.5513164,99.94261898,98.72175982,No,3
Control,Low Value,205.7981245,254.9388811,49.85524416,41.12438053,Yes,3
Treatment,Low Value,203.3310123,321.2999589,52.03479443,70.5939518,No,3
,Medium Value,218.5169676,350.8336639,72.15256319,83.12291501,Yes,3
Control,High Value,132.8073109,167.0565957,79.52000308,71.08524076,Yes,3
Control,High Value,221.1095966,271.2768086,78.44068691,81.30316129,Yes,3
Treatment,,,370.4341081,92.34664996,100,No,3
,Medium Value,,433.4237887,74.84420886,87.67017663,,3
Control,High Value,215.2015951,261.821141,100,100,Yes,3
Control,Medium Value,243.5295866,290.9923903,73.02831405,67.58387596,No,3
Control,Low Value,203.8462203,243.7668889,,70.58572441,Yes,3
Treatment,Low Value,,218.1165623,69.99709539,64.27034517,No,3
Treatment,High Value,226.7646539,360.1506433,91.90306766,100,Yes,3
Treatment,Low Value,198.7794241,305.9127276,56.80899172,63.08908302,No,3
Treatment,,138.2812922,215.4309958,,,Yes,3
Treatment,High Value,,416.4674553,,96.18648911,No,3
Control,Low Value,166.4719722,201.1173495,54.26896986,63.55589564,Yes,3
Control,High Value,198.2887168,248.4339742,78.0352446,88.6988391,Yes,3
Treatment,High Value,205.3072371,330.7713395,90.68245778,98.83497882,Yes,3
Treatment,Low Value,115.4357047,181.997496,28.95447445,37.15256333,No,3
Control,Low Value,103.6313821,121.5064433,,76,Yes,3
Control,Low Value,253.07755,307.3905048,52.50227358,62.1140225,No,3
Control,Low Value,195.0681888,237.7822998,40.7585579,41.92043714,Yes,3
Control,,261.481007,315.9084789,53.48557002,49.76550593,No,3
Treatment,,193.0731215,306.5472197,,66.73649437,Yes,3
Control,Low Value,155.3185607,184.5432435,47.07197583,50.03205404,No,3
Treatment,Medium Value,163.8700894,263.8593253,,57.79631547,Yes,3
Control,High Value,188.94674,,81.92067848,70.65691428,Yes,3
Control,Low Value,162.2315427,192.4887521,51.8178727,64.06171281,Yes,3
Control,Low Value,141.2690674,,49.39542757,,No,3
Treatment,Low Value,139.3157428,219.5689684,63.36984754,64.04564613,Yes,3
Treatment,,,363.0046522,91.51899549,91.7793855,No,3
Control,Medium Value,164.7335896,,73.29276084,52.54096959,No,3
Treatment,Medium Value,108.0850893,179.8128587,70.24902619,,No,3
,Low Value,83.54063249,139.3452685,41.29860194,38.72206243,Yes,3
Control,Low Value,,100.4639844,62.09021018,,,3
Control,Low Value,,,76,75.31597045,No,3
Treatment,Low Value,120.2632731,203.5109496,45.18408145,51.09021925,No,3
,High Value,160.8790154,256.9408326,78.15463115,96.05375011,No,3
Treatment,Low Value,,302.3937683,49.09770024,42.82677913,Yes,3
Control,High Value,135.9006358,171.1301733,,91.34488758,Yes,3
Control,Low Value,129.1581636,156.3390559,50.8246301,52.79039602,No,3
Treatment,Medium Value,95.28584665,128.5416083,63.91656297,,No,3
Control,Medium Value,155.955806,190.9755993,74.46307572,84.38591389,No,3
,Low Value,209.5279953,259.4480058,55.8635399,,No,3
Treatment,,163.0185929,259.6285675,62.57956543,62.71733411,No,3
Treatment,High Value,207.7078588,310.831826,,96.36136932,No,3
Control,Low Value,176.2098699,218.1322581,52.63528852,43.98370236,No,3
Control,Low Value,116.8946271,143.7527985,50.97209682,72.2768351,No,3
Treatment,Low Value,150.1332273,239.2177893,53.72190548,60.8973279,Yes,3
Control,Medium Value,204.3794812,238.0884288,58.13367828,74.14351696,No,3
Control,,263.1959628,314.4942878,,100,No,3
Treatment,Medium Value,214.7585271,329.0695877,,,No,3
Treatment,High Value,,411.7683382,,93.39955656,Yes,3
Control,,203.8462203,243.7668889,63.53949187,,Yes,3
Control,Low Value,114.429417,135.781299,65.02134943,61.9324844,No,3
Control,Medium Value,104.5283923,122.9995804,63.31118101,69.17549607,No,3
Treatment,Medium Value,230.2861291,359.5476705,59.30186847,43.73910652,Yes,3
Control,,132.8969436,163.8041777,82.68419926,99.95045448,No,3
,High Value,264.5338799,325.8088334,95.92753471,100,No,3
Treatment,Medium Value,178.8259019,274.4941039,84.17040163,68.42509623,Yes,3
Treatment,High Value,300.9438294,475.7081698,97.77208228,93.24968941,Yes,3
Control,High Value,182.0243086,218.3155437,70.46120306,68.89813181,Yes,3
,High Value,,261.1051185,86.76233437,98.24503992,No,3
Treatment,,217.9213148,338.3437336,80.67497285,50.30050123,No,3
,High Value,190.1915734,233.2933133,93.22852942,,Yes,3
,Medium Value,207.7571858,,64.98975016,64.08583342,No,3
Treatment,High Value,153.9786205,246.3176247,95.74667242,100,No,3
Control,Low Value,172.0506674,212.2302364,48.6812352,51.34507475,No,3
Treatment,Medium Value,,250.2659877,60.50399989,42.54250898,,3
Control,Medium Value,181.3714193,213.2457788,,70.01528205,Yes,3
Control,Medium Value,,164.3142167,,75.01622136,,3
Treatment,High Value,252.1231029,396.6260631,,87.83922215,Yes,3
Treatment,Low Value,148.7565595,223.2488025,42.59017636,38.85175497,No,3
,High Value,253.883664,396.9553446,77.10344775,52.78959548,Yes,3
Control,Medium Value,145.9710767,,54.35750484,73.92144865,Yes,3
Treatment,Medium Value,195.6927909,303.7132978,62.08661993,82.20040225,No,3
Control,Medium Value,203.8462203,243.7668889,61.16251474,,No,3
Treatment,Medium Value,203.7524816,322.4799516,28.31116232,99.11459951,Yes,3
Treatment,,166.6535354,262.4345358,,78.43146008,Yes,3
Treatment,Low Value,207.6749754,322.4644141,45.48833844,55.51102885,Yes,3
Control,Low Value,230.8217558,273.5865268,45.72864928,47.9072915,No,3
Treatment,,188.7388567,282.5325462,71.37892816,78.18097286,Yes,3
Treatment,Low Value,125.6208464,209.5089108,67.88988678,64.55269047,Yes,3
Control,,166.0153457,199.6581066,73.26093573,,Yes,3
Control,Medium Value,289.4349852,354.265685,72.75720622,66.97522038,No,3
Treatment,Low Value,110.4952391,182.8057453,51.57144787,67.60593874,Yes,3
Treatment,Medium Value,219.7778663,353.8227745,,53.77343924,No,3
Treatment,,176.7825915,283.0120412,50.70111923,49.96716701,,3
Control,Medium Value,131.0701514,160.7212037,59.50555428,60.56033573,No,3
Control,,152.7198517,175.7225987,59.67534634,66.27367799,No,3
,Medium Value,99.86290825,131.5618914,86.86795429,94.28038359,Yes,3
Control,Low Value,187.0514442,220.0048937,46.34870552,46.33707429,No,3
Treatment,Medium Value,205.7221707,335.4937124,,83.80470136,Yes,3
Control,Medium Value,121.9076087,146.524467,57.22017916,60.60415864,No,3
Control,Medium Value,218.7885195,270.6444107,,,No,3
Control,Low Value,137.6826154,171.7617583,60.8924126,62.61387288,,3
Treatment,High Value,,,,91.13687613,No,3
Treatment,Medium Value,142.2261812,227.34965,71.93384642,94.21137549,Yes,3
Control,,217.2992252,261.6901982,69.93447218,73.68023948,Yes,3
Control,,97.13533742,118.6376011,56.8850756,,No,3
Treatment,Medium Value,105.9683911,168.2455361,68.16418111,82.45087227,No,3
,Medium Value,165.5945881,262.2525549,67.51951311,72.42306335,,3
Treatment,Medium Value,173.688207,272.5132498,,95.33485715,No,3
Treatment,Medium Value,216.9876548,330.494656,76.83333509,,Yes,3
Treatment,High Value,206.8684425,321.917088,78.75826015,84.43113619,Yes,3
